mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
5.062209924062093,0.7307751322375236,0.481766939163208,0.1432650303650581,12,sqrt,4,2,120,"{'classifier__max_depth': 12, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 120}",0.6515803254161212,0.6490260933480339,0.646192985644194,0.648933134802783,0.002200354277974112,48,0.6764732922680886,0.6720410406742396,0.6719985291413862,0.6735042873612381,0.0020994752376539074
8.5513916015625,0.372769401379471,0.55560302734375,0.04491871654929782,12,sqrt,4,2,200,"{'classifier__max_depth': 12, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.6582374032836384,0.6506469500924215,0.6482055019129167,0.6523632850963256,0.004271542708217722,46,0.6793221594592092,0.6747232472324723,0.6745387453874538,0.6761947173597118,0.002212717905952648
5.08665672938029,0.7578304011297852,0.40745751063028973,0.01960512522396051,12,sqrt,4,10,120,"{'classifier__max_depth': 12, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 120}",0.6535137166478767,0.6485991576634316,0.6460418562329391,0.6493849101814159,0.0031005622909097115,47,0.6776631035753778,0.6711066508530243,0.671320962704391,0.6733635723775978,0.003041486345294837
8.690600474675497,0.03964468383699507,0.5621798038482666,0.046482786873350335,12,sqrt,4,10,200,"{'classifier__max_depth': 12, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.6592072823819458,0.650655828560872,0.6513761467889908,0.6537464192439363,0.003872594672524192,45,0.6786970201739774,0.6744571218255428,0.6767948124131542,0.6766496514708914,0.0017339719866313493
9.354479630788168,0.4058345300230137,0.45969510078430176,0.08538743354825594,12,0.7,1,2,120,"{'classifier__max_depth': 12, 'classifier__max_features': 0.7, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 120}",0.6631721995728984,0.6570506737521351,0.6612812323877513,0.6605013685709282,0.002559219968813451,35,0.7028833301508497,0.6958486303304151,0.695561654206492,0.6980978715625857,0.0033858577691055387
15.791332244873047,0.35359109146771317,0.4974507490793864,0.02259635283339511,12,0.7,1,2,200,"{'classifier__max_depth': 12, 'classifier__max_features': 0.7, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.6645914396887159,0.6586666666666666,0.6600337901257743,0.6610972988270523,0.0025329853149951,33,0.7071812596006144,0.69688972667295,0.6941009910335064,0.699390659102357,0.005625202438387599
9.53116226196289,0.34820392286844754,0.3988162676493327,0.04161290799174914,12,0.7,1,10,120,"{'classifier__max_depth': 12, 'classifier__max_features': 0.7, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 120}",0.662156938538848,0.6570670708601744,0.6583083832335329,0.6591774642108518,0.0021668970988420167,38,0.7039800995024875,0.6940999624201428,0.6936306936306936,0.6972369185177746,0.004771996133250224
15.698767820994059,0.4216159207867852,0.493782917658488,0.04089510766867687,12,0.7,1,10,200,"{'classifier__max_depth': 12, 'classifier__max_features': 0.7, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}",0.6629169899146625,0.6584440227703985,0.6583083832335329,0.6598897986395312,0.0021412636118521545,36,0.7039479973233916,0.6949647058823529,0.6929386254360328,0.6972837762139257,0.0047843587338066455
10.13369369506836,0.03419724575869918,0.29663904507954914,0.022816178670181902,12,0.7,4,2,120,"{'classifier__max_depth': 12, 'classifier__max_features': 0.7, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 120}",0.6628131021194605,0.6566994700984103,0.655994043186895,0.658502205134922,0.0030618383791822753,41,0.7010387877632708,0.6917744050964961,0.6913231695840392,0.694712120814602,0.004477420342225254
15.635972738265991,0.1712639865311723,0.4517943064371745,0.05712477686001849,12,0.7,4,2,200,"{'classifier__max_depth': 12, 'classifier__max_features': 0.7, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.6643464810518175,0.6604562737642585,0.6580717488789237,0.6609581678983333,0.0025861153946606184,34,0.7029040886511272,0.6941806900441854,0.6901540774145059,0.6957462853699395,0.005321592066071326
9.886834144592285,0.22773671171070042,0.36759312947591144,0.01565511779095445,12,0.7,4,10,120,"{'classifier__max_depth': 12, 'classifier__max_features': 0.7, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 120}",0.6606525911708253,0.6564219313223297,0.6593036315986522,0.6587927180306025,0.0017645386921102443,40,0.6961953435547984,0.6964621753857734,0.6908748824082784,0.6945108004496167,0.0025732890508714554
